GRAVEDAD,FECHA,AÑO,HORA,JORNADA,DIA_SEMANA,BARRIOS-COREGIMIENTO- VIA,DIRECCION,ZONA,AUTORIDAD,LAT,LONG,HIPOTESIS,CONDICION DE LA VICTIMA,CLASE DE SINIESTRO,LESIONADO,HOMICIDIOS,CLINICA,SITIO,CLASE VEHICULO,MARCA,MATRICULA,TIPO DE SERVICIO,EMPRESA, , 
DAÑOS,01/03/2020 12:00:00 AM,2020,1899-12-31T09:30:00.000,MAÑANA,5_VIERNES,SAN PEDRO,CARRERA 19 CALLE 41-48,URBANA,TECNICO,353.666,-7.629.062,MALA UTILIZACION DEL CARRIL,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,PEUGEOT,CALI,PARTICULAR,NO APLICA,,
DAÑOS,01/03/2020 12:00:00 AM,2020,1899-12-31T09:30:00.000,MAÑANA,5_VIERNES,SAN PEDRO,CARRERA 19 CALLE 41-48,URBANA,TECNICO,353.666,-7.629.062,MALA UTILIZACION DEL CARRIL,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,MOTO,TVS,PRADERA,PARTICULAR,NO APLICA,,
HERIDOS,01/03/2020 12:00:00 AM,2020,1899-12-31T12:10:00.000,TARDE,5_VIERNES,JARDIN,CALLE 32 CARRERA 5E,URBANA,TECNICO,3.5276,-762.741,DESOBEDECER SEÑALES,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,CAMION,JAC,JAMUNDI,PUBLICO,NO APLICA,,
HERIDOS,01/03/2020 12:00:00 AM,2020,1899-12-31T12:10:00.000,TARDE,5_VIERNES,JARDIN,CALLE 32 CARRERA 5E,URBANA,TECNICO,3.5276,-762.741,DESOBEDECER SEÑALES,MOTOCICLISTA,CHOQUE,1,NO APLICA,PALMA,NO APLICA,MOTO,AKT,PEREIRA,PARTICULAR,NO APLICA,,
HERIDOS,01/03/2020 12:00:00 AM,2020,1899-12-31T12:10:00.000,TARDE,5_VIERNES,JARDIN,CALLE 32 CARRERA 5E,URBANA,TECNICO,3.5276,-762.741,DESOBEDECER SEÑALES,ACOMPAÑANTE MOTOCICLISTA,CHOQUE,1,NO APLICA,PALMA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,,
HERIDOS,01/06/2020 12:00:00 AM,2020,1899-12-31T22:30:00.000,NOCHE,1_LUNES,SESQUI,CALLE 11 CARRERA 29-28,URBANA,TECNICO,351.062,-7.630.167,NO ESTAR PENDIENTE DE LA VIA,MOTOCICLISTA,CHOQUE,1,NO APLICA,PALMIRA,NO APLICA,MOTO,HONDA,CALI,PARTICULAR,NO APLICA,,
HERIDOS,01/06/2020 12:00:00 AM,2020,1899-12-31T22:30:00.000,NOCHE,1_LUNES,SESQUI,CALLE 11 CARRERA 29-28,URBANA,TECNICO,351.062,-7.630.167,NO ESTAR PENDIENTE DE LA VIA,ACOMPAÑANTE MOTOCICLISTA,CHOQUE,1,NO APLICA,PALMIRA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,,
HERIDOS,01/06/2020 12:00:00 AM,2020,1899-12-31T22:30:00.000,NOCHE,1_LUNES,SESQUI,CALLE 11 CARRERA 29-28,URBANA,TECNICO,351.062,-7.630.167,NO ESTAR PENDIENTE DE LA VIA,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,MOTO,SUZUKI,FUNZA,PARTICULAR,NO APLICA,,
HERIDOS,01/07/2020 12:00:00 AM,2020,1899-12-31T00:00:00.000,MADRUGADA,2_MARTES,SANTA BARBARA,CALLE 43 CARRERA 28,URBANA,TECNICO,353.878,-7.629.711,PERDIDA DEL CONTROL,MOTOCICLISTA,VOLCAMIENTO,1,NO APLICA,RAUL,NO APLICA,MOTO,HONDA,GUACARI,PARTICULAR,NO APLICA,,
DAÑOS,01/04/2020 12:00:00 AM,2020,1899-12-31T07:00:00.000,MAÑANA,6_SABADO,CORONADO ROZO,CORONADO ROZO,RURAL,TECNICO,356.461,-7.631.021,ADELANTAR INVADIENDO CARRIL,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,KIA,PALMIRA,PARTICULAR,NO APLICA,,
